影片名称,评分,类型,主演,上映日期,图片URL
惊魂记,8.8,悬疑／惊悚／恐怖,安东尼·博金斯／珍妮特·利／维拉·迈尔斯,1960-06-16,https://p0.pipi.cn/mmdb/d2dad592c7e7e157e2cbaeb27487b8dabdb26.jpg?imageView2/1/w/218/h/300
蝴蝶梦,8.1,剧情／爱情／悬疑,琼·芳登／劳伦斯·奥利弗／朱迪丝·安德森,1940-03-21,https://p0.pipi.cn/mmdb/d2dad592c7e7e1300b11e5431fc7101ce4d5f.jpg?imageView2/1/w/218/h/300
马戏团,9.0,喜剧／爱情,查理·卓别林／阿尔·欧内斯特·加西亚／哈里·克罗克,1928-01-06,https://p0.pipi.cn/mmdb/d2dad592c7e7e1af33e5bccc9cb43d865371d.jpg?imageView2/1/w/218/h/300
坏种,7.9,剧情／悬疑／惊悚／恐怖,帕蒂·麦克马科／亨瑞·琼斯／艾琳·哈卡特,1956-09-12,https://p0.pipi.cn/mmdb/d2dad592b1251bb12d07ac8d8e1d4a8a73d05.jpg?imageView2/1/w/218/h/300
蝙蝠侠,6.6,喜剧／动作／家庭／犯罪,亚当·威斯特／李·麦瑞威瑟／恺撒·罗摩洛,1967-08-03,https://p0.pipi.cn/mmdb/d2dad592b12923be1271f721b108caac2ff26.jpg?imageView2/1/w/218/h/300
大地,8.2,剧情／爱情,保罗·穆尼／路易丝·赖纳／沃尔特·康诺利,1937-01-29,https://p0.pipi.cn/mmdb/d2dad592b12f2a67cb80774e195efbb87a6f1.jpg?imageView2/1/w/218/h/300
白雪公主和七个小矮人,8.0,动画／爱情,艾迪·柯林斯／品托·考维格／Marion Darlington,1938-06-02,https://p0.pipi.cn/mmdb/d2dad592c7e7e1395b395b5dee6c9acdfbbe7.jpg?imageView2/1/w/218/h/300
战龙哥斯拉之三大怪兽,6.6,动作／科幻／奇幻,夏木阳介／星由里子／小泉博,1964-12-20,https://p0.pipi.cn/mmdb/d2dad592b12b12338fbe123198182b3d5725e.jpg?imageView2/1/w/218/h/300
飞瀑怒潮,8.0,剧情／惊悚／黑色电影,玛丽莲·梦露／约瑟夫·科顿／简·皮特斯,1953-01-21,https://p0.pipi.cn/mmdb/d2dad592b1233871f7f0eee57a75ad5a28d62.jpg?imageView2/1/w/218/h/300
无人生还,7.6,剧情／悬疑／惊悚／犯罪,巴里·菲茨杰拉德／沃尔特·休斯顿／路易斯·海沃德,1945-10-31,https://p0.pipi.cn/mmdb/d2dad592b12c7e16bd0fafe141eca5ceb56a3.jpg?imageView2/1/w/218/h/300
艺海风光二：话剧团,暂无评分,爱情／短片,陈燕燕／郑君里／梅熹,1938,https://p0.pipi.cn/mmdb/d2dad592e7a9abf2aad2365eae9feca25bf31.jpg?imageView2/1/w/218/h/300
西游记,暂无评分,剧情／古装,邬丽珠／赵咏霓／汪翰成,1929,https://p0.pipi.cn/mmdb/d2dad592b12f2a57e2c9fdb9ec560e0d0570f.jpg?imageView2/1/w/218/h/300
动物农场,7.8,剧情,莫瑞斯·德纳姆／戈登·希斯,1954-12-29,https://p0.pipi.cn/mmdb/d2dad592c7e7e1e19b300b744e776da9a73cd.jpg?imageView2/1/w/218/h/300
诺斯费拉图,8.0,恐怖／奇幻,马科斯·夏瑞克／古斯塔·冯·瓦根海姆／格里塔·斯楚瑞德,1922-03-04,https://p0.pipi.cn/mmdb/d2dad592c7e7e1b8608d336d5cbafda888d47.jpg?imageView2/1/w/218/h/300
爱情,7.3,剧情,安娜·马尼亚尼／费德里科·费里尼／西尔维娅·巴塔耶,1948-01-01,https://p0.pipi.cn/mmdb/d2dad592b1251bc696cbaec21c0f49eb37f1c.jpg?imageView2/1/w/218/h/300
通往绞刑架的电梯,8.1,剧情,让娜·莫罗／莫里斯·荣内特／乔吉斯·伯乔利,1958-01-29,https://p0.pipi.cn/mmdb/d2dad592b1251b51baaf33a6f142ee352b4f7.jpg?imageView2/1/w/218/h/300
爆米花,暂无评分,喜剧／动画／短片／家庭,Dessie Flynn／James MacDonald／克拉伦斯·纳什,1951-03-23,https://p0.pipi.cn/mmdb/d2dad592b12c7ec9fdecd82bcae3eb96c26c3.jpg?imageView2/1/w/218/h/300
长篇怪兽电影 奥特曼,7.2,科幻,小林昭二／黑部进／藤田进,1967-07-22,https://p0.pipi.cn/basicdata/54ecded7e7a0e111e55bf1ad5fd85164d038f.jpg?imageView2/1/w/218/h/300
红楼梦,暂无评分,爱情,陆剑芬／文逸民／周空空,1927-01-01,https://p0.pipi.cn/mmdb/fb7386beddd7e1338fd23c749aeae75bf0c4d.jpg?imageView2/1/w/218/h/300
歌剧魅影,7.6,剧情,克劳德·雷恩斯／埃德加·巴里尔／J·爱德华·布朗伯格,1943-08-12,https://p0.pipi.cn/mmdb/d2dad592c7e7e15015d236ca782baf0c00ed4.jpg?imageView2/1/w/218/h/300
洛丽塔,7.7,剧情／爱情,詹姆斯·梅森／谢利·温特斯 ／苏·莱恩,1962-06-13,https://p0.pipi.cn/mmdb/d2dad5927a3be1ecd8923527fc825854ecf44.jpg?imageView2/1/w/218/h/300
捷克斯洛伐克展览会——北京,暂无评分,纪录片,,1955-02-01,https://p0.pipi.cn/mmdb/d2dad5920307e1f0ee06d6624439e114a5354.jpg?imageView2/1/w/218/h/300
黄金湾大冒险,暂无评分,家庭,Václav Halama／Vladimír Hlavatý／兹登卡·霍德尔,1955-08-09,https://p0.pipi.cn/basicdata/54ecded78070e111e5be2a3c93833d4e1e9a3.jpg?imageView2/1/w/218/h/300
一个男人和一个女人,8.3,剧情／爱情,阿努克·艾梅／让·路易·特兰蒂尼昂／瓦勒瑞·拉格兰,1966-05-27,https://p0.pipi.cn/mmdb/25bfd6d72c9b12e5bcbe2a3bb66d891651a57.jpg?imageView2/1/w/218/h/300
喜剧片的黄金时代,暂无评分,喜剧／纪录片,Madalynne Field／斯坦·劳莱／Ward Wilson,1957-12-26,https://p0.pipi.cn/basicdata/54ecded77e10e13ba357e237d284d1b2b2fba.jpg?imageView2/1/w/218/h/300
影片名称,评分,类型,主演,上映日期,图片URL
周身胆闹广州,暂无评分,,谢虹／梁上燕／黎明,1947-11-13,https://p0.pipi.cn/mmdb/d2dad59206d0fa281e8d339fd88e977ef80a0.jpg?imageView2/1/w/218/h/300
西部往事,8.5,剧情／犯罪／西部,亨利·方达／查尔斯·布朗森／克劳迪娅·卡汀娜,1968-12-20,https://p0.pipi.cn/mmdb/d2dad592c7e7e167cb0faf64a49a6d9bdd7fb.jpg?imageView2/1/w/218/h/300
孙悟空三打白骨精,8.3,剧情／奇幻／戏曲,六龄童／筱昌顺／七龄童,1960-01-01,https://p0.pipi.cn/mmdb/d2dad59206d0fa3ba3339edec2f267fe5e72f.jpg?imageView2/1/w/218/h/300
